customer_id,first_name,last_name,gender,marital_status,email,country,join_date,birthdate
90,Danielle,Hammond,Female,Single,danielle.hammond@outlook.com,Canada,2025-02-14,1958-09-26
91,Gary,Aguilar,Female,Married,gary.aguilar@yahoo.com,USA,2023-01-24,1979-12-15
92,Michael,Tyler,Other,Divorced,michael.tyler@outlook.com,UK,2020-12-26,1944-11-11
93,Shelby,Schmitt,Female,Married,shelby.schmitt@outlook.com,Germany,2022-05-07,1972-04-28
94,Rodney,Ashley,Other,Single,rodney.ashley@gmail.com,USA,2020-12-26,1998-02-28
95,Marcus,Marshall,Female,Single,marcus.marshall@yahoo.com,Germany,2024-02-26,1952-12-29
96,Mathew,Diaz,Other,Married,mathew.diaz@gmail.com,UK,2025-03-22,1994-12-27
97,Noah,Gutierrez,Other,Single,noah.gutierrez@outlook.com,Canada,2023-10-28,2006-01-14
98,Sherry,Guzman,Other,Widowed,sherry.guzman@yahoo.com,USA,2020-11-29,1985-07-31
99,Angela,Simpson,Male,Married,angela.simpson@yahoo.com,Germany,2021-08-29,2005-01-13
100,Amy,Kelly,Female,Divorced,amy.kelly@yahoo.com,Canada,2021-04-06,1982-09-01
101,Jamie,Fisher,Other,Single,jamie.fisher@outlook.com,Germany,2021-03-31,1973-02-17
102,Robert,Pacheco,Other,Divorced,robert.pacheco@outlook.com,UK,2023-08-30,1977-12-15
103,Jasmine,Doyle,Other,Widowed,jasmine.doyle@gmail.com,UK,2021-03-11,1955-10-15
104,Laura,Murphy,Male,Divorced,laura.murphy@hotmail.com,UK,2022-11-22,1985-04-10
105,Jason,Mclaughlin,Other,Married,jason.mclaughlin@outlook.com,Australia,2024-07-30,2007-03-02
106,Connie,Martinez,Other,Divorced,connie.martinez@gmail.com,Germany,2020-11-18,1956-06-14
107,James,Turner,Male,Married,james.turner@hotmail.com,Australia,2023-04-04,1970-05-02
108,Lisa,Murphy,Male,Married,lisa.murphy@outlook.com,USA,2023-12-29,1996-01-24
109,Chad,Weaver,Other,Single,chad.weaver@yahoo.com,Canada,2023-02-11,1967-03-16
110,Joshua,Mcguire,Other,Married,joshua.mcguire@hotmail.com,UK,2022-04-05,1995-07-29
111,Jerry,Clayton,Male,Married,jerry.clayton@gmail.com,UK,2020-11-24,1945-08-27
112,Michele,Mcclure,Other,Divorced,michele.mcclure@hotmail.com,Germany,2022-10-28,1954-08-14
113,Alyssa,Marshall,Other,Single,alyssa.marshall@hotmail.com,Canada,2023-10-01,1967-11-01
114,Nicole,Randolph,Female,Widowed,nicole.randolph@yahoo.com,Germany,2021-05-03,1958-12-24
115,Matthew,Oconnor,Female,Married,matthew.oconnor@outlook.com,Australia,2022-01-02,1993-04-09
116,Melissa,Smith,Female,Single,melissa.smith@outlook.com,USA,2023-05-13,1993-10-06
117,Cynthia,Rice,Male,Married,cynthia.rice@outlook.com,UK,2025-01-19,2007-05-09
118,Robert,Perez,Female,Married,robert.perez@yahoo.com,USA,2021-11-22,2001-01-01
119,Meghan,Baldwin,Male,Widowed,meghan.baldwin@hotmail.com,UK,2023-01-08,2002-12-29
120,Julie,Mueller,Male,Divorced,julie.mueller@gmail.com,Germany,2020-08-24,1993-10-17
121,Patrick,Smith,Male,Widowed,patrick.smith@gmail.com,USA,2022-10-09,1965-02-27
122,Kristen,Smith,Female,Single,kristen.smith@gmail.com,Canada,2023-09-19,1998-10-02
123,Kimberly,Martinez,Male,Divorced,kimberly.martinez@yahoo.com,Canada,2025-05-31,1952-08-08
124,Calvin,Eaton,Female,Married,calvin.eaton@gmail.com,UK,2024-05-02,1989-07-03
125,Brandon,Tran,Female,Widowed,brandon.tran@hotmail.com,Australia,2025-05-28,1947-01-05
126,Charles,Anderson,Female,Single,charles.anderson@yahoo.com,Germany,2024-04-16,1999-09-18
127,Lisa,Andersen,Other,Divorced,lisa.andersen@gmail.com,UK,2024-07-24,1960-03-23
128,Zachary,Novak,Female,Widowed,zachary.novak@yahoo.com,Australia,2024-08-13,1993-05-07
129,Phillip,Oneill,Female,Single,phillip.oneill@hotmail.com,Canada,2025-04-22,1979-07-13
130,Kimberly,Klein,Male,Widowed,kimberly.klein@hotmail.com,UK,2021-12-14,1966-01-26
131,Hunter,Mills,Other,Married,hunter.mills@hotmail.com,Australia,2022-06-04,1944-11-12
132,Dustin,Hernandez,Female,Divorced,dustin.hernandez@hotmail.com,Australia,2024-07-25,1983-12-12
133,Nathaniel,Calhoun,Female,Married,nathaniel.calhoun@hotmail.com,Australia,2022-07-20,1990-04-02
134,Heather,Olson,Male,Divorced,heather.olson@yahoo.com,Canada,2022-08-05,1986-05-30
135,Kyle,Davis,Male,Married,kyle.davis@gmail.com,Canada,2022-06-16,1959-04-20
136,Natalie,Green,Other,Divorced,natalie.green@hotmail.com,Canada,2023-02-03,1977-07-07
137,Danielle,Cooper,Other,Married,danielle.cooper@yahoo.com,Australia,2021-05-18,2007-02-17
138,Andrea,Suarez,Female,Widowed,andrea.suarez@gmail.com,Germany,2021-10-12,1978-11-21
139,William,Meyer,Other,Widowed,william.meyer@hotmail.com,Australia,2022-06-25,1994-02-13
140,Nathan,Proctor,Other,Widowed,nathan.proctor@gmail.com,Canada,2022-10-16,1957-07-20
141,Emily,Morris,Other,Widowed,emily.morris@outlook.com,Australia,2023-11-30,1980-01-22
142,Craig,King,Male,Divorced,craig.king@outlook.com,Germany,2025-01-09,1957-12-03
143,David,Miller,Female,Married,david.miller@outlook.com,Germany,2022-10-07,1980-04-17
144,Jesse,Alexander,Female,Single,jesse.alexander@hotmail.com,Australia,2024-01-23,1971-06-19
145,Holly,Cannon,Male,Single,holly.cannon@outlook.com,Germany,2021-12-12,1978-05-25
146,Danielle,Sanchez,Male,Widowed,danielle.sanchez@outlook.com,Australia,2023-09-29,1946-05-31
147,Michael,Mccarthy,Other,Married,michael.mccarthy@gmail.com,Australia,2025-05-30,1948-11-14
148,Janice,Mcgrath,Female,Married,janice.mcgrath@outlook.com,Australia,2023-07-22,1959-03-07
149,Natalie,West,Male,Married,natalie.west@outlook.com,UK,2024-09-26,1961-10-21
150,Jennifer,Sanchez,Male,Divorced,jennifer.sanchez@yahoo.com,Germany,2021-04-21,1968-11-05
151,Brenda,Contreras,Female,Widowed,brenda.contreras@yahoo.com,USA,2021-10-23,1974-03-02
152,Lynn,King,Female,Married,lynn.king@outlook.com,USA,2021-06-11,1977-06-15
153,Terri,Ward,Other,Single,terri.ward@outlook.com,Australia,2025-02-01,1969-05-28
154,Michelle,Mack,Other,Widowed,michelle.mack@hotmail.com,Germany,2023-04-07,1985-01-20
155,Neil,Ball,Male,Divorced,neil.ball@hotmail.com,USA,2023-08-16,1959-11-02
156,Monique,Young,Other,Divorced,monique.young@hotmail.com,USA,2025-04-25,1963-07-13
157,Jeff,Cunningham,Male,Single,jeff.cunningham@outlook.com,Germany,2024-11-03,1971-01-31
158,Tony,Powers,Female,Married,tony.powers@yahoo.com,USA,2023-09-26,1973-06-09
159,Robin,Miller,Other,Divorced,robin.miller@gmail.com,USA,2025-05-09,2000-12-22
160,Karen,Morgan,Male,Widowed,karen.morgan@hotmail.com,Germany,2022-09-16,1983-12-06
161,Gregory,Jensen,Other,Divorced,gregory.jensen@outlook.com,USA,2021-09-01,1995-12-10
162,Anthony,Nicholson,Female,Widowed,anthony.nicholson@gmail.com,UK,2023-06-09,1997-05-18
163,Alex,Smith,Other,Widowed,alex.smith@outlook.com,Germany,2024-05-31,1960-10-08
164,Eric,Williams,Female,Single,eric.williams@gmail.com,Canada,2023-04-16,1977-02-08
165,Daniel,Flores,Other,Widowed,daniel.flores@hotmail.com,USA,2025-02-11,1950-12-17
166,Kevin,Parker,Other,Divorced,kevin.parker@yahoo.com,Germany,2023-07-18,1951-12-18
167,Sarah,Ruiz,Male,Divorced,sarah.ruiz@hotmail.com,USA,2025-01-24,1946-11-17
168,Robert,Palmer,Female,Single,robert.palmer@outlook.com,USA,2021-05-23,1980-11-12
169,Jared,Hill,Other,Married,jared.hill@hotmail.com,Australia,2021-04-28,1977-07-14
170,Joseph,Patton,Other,Single,joseph.patton@outlook.com,Australia,2022-10-18,1955-11-19
171,Kevin,Brown,Female,Widowed,kevin.brown@yahoo.com,Canada,2023-09-05,2001-10-08
172,Roger,Harrison,Male,Divorced,roger.harrison@yahoo.com,Canada,2023-10-13,1957-08-11
173,Tony,Harris,Other,Divorced,tony.harris@hotmail.com,Germany,2025-02-25,1982-12-11
174,Deborah,Jones,Male,Widowed,deborah.jones@gmail.com,Canada,2024-11-04,1960-08-12
175,Tara,Herring,Male,Divorced,tara.herring@yahoo.com,Australia,2024-06-04,2000-07-07
176,Brittany,Monroe,Other,Divorced,brittany.monroe@yahoo.com,Germany,2022-04-14,1951-05-07
177,Mark,Romero,Other,Widowed,mark.romero@gmail.com,USA,2024-04-25,1999-03-19
178,Lindsey,Collins,Male,Widowed,lindsey.collins@hotmail.com,Australia,2021-09-02,1949-05-26
179,Stephen,Cline,Male,Divorced,stephen.cline@outlook.com,Canada,2021-07-24,1956-08-12
180,Joshua,Hicks,Other,Married,joshua.hicks@outlook.com,Australia,2023-08-26,1968-03-11
181,Megan,Davis,Female,Widowed,megan.davis@hotmail.com,UK,2021-12-09,1976-08-30
182,John,Hammond,Female,Single,john.hammond@yahoo.com,UK,2021-03-08,1997-06-11
183,Megan,Pope,Male,Divorced,megan.pope@outlook.com,USA,2022-11-27,1977-05-19
184,Jo,Martinez,Male,Married,jo.martinez@outlook.com,Australia,2024-09-16,1987-01-02
185,Audrey,Marshall,Female,Single,audrey.marshall@outlook.com,USA,2023-07-03,1954-06-30
186,Tyler,Butler,Female,Widowed,tyler.butler@gmail.com,Germany,2024-12-15,2005-05-04
187,Haley,Hawkins,Other,Single,haley.hawkins@outlook.com,UK,2023-01-24,1958-05-28
188,Jason,Carter,Other,Divorced,jason.carter@yahoo.com,Australia,2020-10-06,1986-02-03
189,Charles,Colon,Other,Single,charles.colon@outlook.com,Australia,2020-12-28,1978-11-05
190,Jose,Brown,Other,Widowed,jose.brown@hotmail.com,USA,2021-10-28,1948-02-01
191,Joann,Manning,Other,Widowed,joann.manning@hotmail.com,Australia,2023-08-30,1961-09-22
192,Angela,Ross,Other,Widowed,angela.ross@outlook.com,Australia,2024-08-31,1946-08-24
193,Jordan,Montgomery,Female,Married,jordan.montgomery@hotmail.com,UK,2021-10-13,1997-04-07
194,Cheryl,Bryant,Other,Single,cheryl.bryant@gmail.com,Germany,2022-02-11,1995-07-24
195,Terri,Chang,Other,Widowed,terri.chang@yahoo.com,Germany,2021-09-03,1977-10-27
196,Richard,Lozano,Female,Married,richard.lozano@gmail.com,USA,2024-07-12,2003-05-26
197,Daniel,Smith,Other,Single,daniel.smith@gmail.com,Germany,2020-10-17,1971-04-26
198,Sean,Hines,Female,Married,sean.hines@outlook.com,Australia,2020-11-15,1987-01-13
199,Lisa,Bates,Male,Single,lisa.bates@yahoo.com,Australia,2021-02-08,1958-05-08
200,Justin,Bennett,Other,Single,justin.bennett@outlook.com,UK,2022-12-14,1953-05-05
201,Jeanette,Rogers,Female,Divorced,jeanette.rogers@hotmail.com,Germany,2022-06-04,1955-08-03
202,Stephanie,Anderson,Male,Widowed,stephanie.anderson@yahoo.com,USA,2024-12-05,1961-09-01
203,Benjamin,Butler,Other,Widowed,benjamin.butler@hotmail.com,Canada,2023-11-18,1955-04-03
204,Matthew,Miller,Female,Married,matthew.miller@yahoo.com,Australia,2022-10-27,1982-02-24
205,Janet,Martin,Male,Married,janet.martin@outlook.com,Canada,2023-07-06,1961-10-14
206,Amanda,Simpson,Other,Married,amanda.simpson@outlook.com,UK,2024-09-04,1956-04-08
207,Lisa,James,Other,Married,lisa.james@hotmail.com,Australia,2024-11-15,1963-01-21
208,Elizabeth,Mcfarland,Male,Divorced,elizabeth.mcfarland@outlook.com,Germany,2023-08-04,1973-01-04
209,Christopher,Erickson,Male,Divorced,christopher.erickson@hotmail.com,USA,2022-05-13,1969-12-25
210,Tracey,Watts,Female,Single,tracey.watts@hotmail.com,Germany,2021-05-13,2007-07-24
211,Karen,Edwards,Other,Single,karen.edwards@yahoo.com,USA,2020-12-24,1977-12-29
212,Paul,Ritter,Male,Single,paul.ritter@yahoo.com,Australia,2020-12-24,1988-10-24
213,Shannon,Trujillo,Female,Divorced,shannon.trujillo@gmail.com,Canada,2024-10-18,1997-10-15
214,Tony,Brown,Other,Married,tony.brown@yahoo.com,Australia,2023-11-04,1976-04-07
215,Andre,Powell,Male,Married,andre.powell@hotmail.com,Germany,2022-12-09,1949-06-19
216,Deborah,Johnson,Female,Widowed,deborah.johnson@yahoo.com,UK,2022-10-06,1966-06-30
217,Jonathan,Bush,Other,Single,jonathan.bush@yahoo.com,Germany,2023-03-27,1969-02-28
218,William,Clay,Other,Single,william.clay@outlook.com,Germany,2025-06-11,1957-09-20
219,Austin,Miranda,Male,Single,austin.miranda@yahoo.com,USA,2025-03-15,1945-03-18
220,Jason,Wilson,Female,Widowed,jason.wilson@yahoo.com,Australia,2025-01-17,1993-06-26
221,Julia,Lopez,Other,Divorced,julia.lopez@hotmail.com,Australia,2022-01-23,1982-07-20
222,Douglas,Simmons,Other,Single,douglas.simmons@yahoo.com,Canada,2023-08-28,2007-04-09
223,Kathleen,Cochran,Male,Divorced,kathleen.cochran@outlook.com,Canada,2022-01-21,1964-10-03
224,Kayla,Dougherty,Female,Married,kayla.dougherty@gmail.com,UK,2023-05-16,1998-12-30
225,Fernando,Hall,Other,Divorced,fernando.hall@outlook.com,Canada,2021-06-02,1954-09-09
226,Tracy,Rivera,Male,Single,tracy.rivera@yahoo.com,UK,2023-04-30,1947-06-13
227,Susan,Lester,Female,Widowed,susan.lester@outlook.com,Canada,2023-08-03,1948-07-12
228,Hannah,Miller,Female,Single,hannah.miller@hotmail.com,UK,2020-12-16,1988-07-28
229,Anna,Johnson,Male,Divorced,anna.johnson@yahoo.com,Germany,2021-01-17,1966-12-20
230,Monica,Moore,Male,Widowed,monica.moore@outlook.com,Canada,2021-10-01,1964-11-15
231,Christopher,Davis,Male,Widowed,christopher.davis@outlook.com,USA,2020-10-10,1996-08-24
232,Kevin,Adkins,Female,Single,kevin.adkins@hotmail.com,USA,2024-08-23,1962-10-01
233,Edwin,Scott,Other,Widowed,edwin.scott@yahoo.com,USA,2023-12-19,1945-04-01
234,Mario,Lee,Male,Divorced,mario.lee@outlook.com,Australia,2021-03-17,1998-07-26
235,April,Boyd,Other,Widowed,april.boyd@outlook.com,Germany,2025-05-30,1965-04-15
236,Rebecca,Gomez,Male,Widowed,rebecca.gomez@outlook.com,UK,2022-02-19,1966-09-06
237,Vanessa,Wilkerson,Other,Single,vanessa.wilkerson@hotmail.com,Australia,2022-02-18,1976-02-19
238,Zachary,Adams,Female,Divorced,zachary.adams@outlook.com,Germany,2022-10-17,1978-06-25
239,Amy,Gallegos,Female,Single,amy.gallegos@outlook.com,USA,2024-09-28,1982-02-25
240,Dustin,Garza,Other,Widowed,dustin.garza@yahoo.com,Germany,2022-12-11,1997-05-23
241,Felicia,Gonzalez,Female,Widowed,felicia.gonzalez@gmail.com,Canada,2021-06-25,1987-06-08
242,Maria,Braun,Female,Divorced,maria.braun@outlook.com,Australia,2024-08-29,1955-05-01
243,Karen,Berg,Other,Divorced,karen.berg@yahoo.com,Canada,2021-06-18,1964-08-11
244,James,Dean,Female,Married,james.dean@yahoo.com,USA,2022-08-17,2003-10-23
245,Madison,Bridges,Other,Widowed,madison.bridges@yahoo.com,Germany,2024-08-03,1963-06-06
246,Bruce,Jackson,Other,Widowed,bruce.jackson@yahoo.com,Australia,2020-10-09,1975-09-21
247,Wyatt,Colon,Other,Married,wyatt.colon@hotmail.com,Canada,2024-05-30,1948-03-29
248,Melissa,Moreno,Male,Married,melissa.moreno@yahoo.com,UK,2020-12-29,1990-05-20
249,Andrea,Fletcher,Female,Divorced,andrea.fletcher@gmail.com,Canada,2024-02-11,1952-10-24
250,Christopher,Collins,Male,Divorced,christopher.collins@yahoo.com,Canada,2025-03-03,1953-03-30
251,Steven,Tate,Male,Divorced,steven.tate@hotmail.com,USA,2024-05-21,2006-06-06
252,Marvin,Sharp,Female,Single,marvin.sharp@gmail.com,Germany,2025-06-01,1991-10-18
253,Emily,Dennis,Female,Single,emily.dennis@gmail.com,USA,2023-06-20,2001-03-08
254,Christopher,King,Other,Married,christopher.king@gmail.com,USA,2025-06-30,1967-02-01
255,Peter,Oneill,Male,Widowed,peter.oneill@hotmail.com,USA,2021-09-22,1964-01-06
256,Barbara,Walton,Other,Married,barbara.walton@outlook.com,Canada,2021-07-18,1956-09-01
257,Joel,Miller,Female,Married,joel.miller@hotmail.com,UK,2024-11-29,1996-07-08
258,Kimberly,Davis,Female,Single,kimberly.davis@gmail.com,USA,2024-10-13,1952-10-27
259,Stephanie,Johnson,Other,Single,stephanie.johnson@outlook.com,Germany,2021-11-06,2007-01-28
260,Alvin,Johnson,Male,Widowed,alvin.johnson@yahoo.com,Canada,2023-05-11,1969-04-30
261,Sean,Harris,Female,Divorced,sean.harris@outlook.com,Canada,2022-11-12,1981-09-28
262,Matthew,Munoz,Other,Widowed,matthew.munoz@gmail.com,Australia,2022-03-25,1961-11-22
263,Jason,Conner,Other,Widowed,jason.conner@hotmail.com,USA,2022-12-21,1947-06-30
264,Johnny,Martin,Female,Single,johnny.martin@gmail.com,UK,2023-08-01,2004-12-26
265,Keith,Baldwin,Other,Married,keith.baldwin@gmail.com,UK,2025-06-19,1960-02-07
266,Jody,Buck,Male,Single,jody.buck@yahoo.com,Germany,2020-12-09,1965-06-07
267,Mark,Moody,Female,Divorced,mark.moody@hotmail.com,Australia,2024-12-18,1978-01-28
268,April,Jones,Male,Married,april.jones@gmail.com,UK,2022-03-24,1983-05-13
269,Nicholas,Zamora,Female,Widowed,nicholas.zamora@hotmail.com,Australia,2024-02-17,1962-05-09
270,John,White,Male,Single,john.white@gmail.com,Germany,2023-03-14,1975-04-05
271,Joseph,Robinson,Other,Divorced,joseph.robinson@gmail.com,Australia,2024-01-07,1968-04-15
272,Michael,Small,Female,Widowed,michael.small@yahoo.com,UK,2024-12-13,1972-09-01
273,Dakota,Johnson,Female,Divorced,dakota.johnson@gmail.com,Germany,2022-12-03,1981-08-23
274,Brandon,Gomez,Male,Single,brandon.gomez@hotmail.com,Australia,2022-12-31,1961-07-14
275,Blake,Obrien,Male,Single,blake.obrien@gmail.com,UK,2023-03-08,1977-04-30
276,Diane,Arellano,Female,Single,diane.arellano@yahoo.com,Canada,2025-06-26,1946-08-19
277,Joshua,Travis,Female,Single,joshua.travis@outlook.com,Canada,2022-10-25,1964-08-29
278,Donna,Higgins,Female,Married,donna.higgins@gmail.com,Canada,2024-05-14,1988-12-22
279,Kathleen,Cook,Female,Married,kathleen.cook@outlook.com,Australia,2022-01-31,1964-10-11
280,Steven,Mejia,Male,Single,steven.mejia@hotmail.com,Germany,2020-11-21,1986-10-06
